16070 //  3D Tetris //  $89.99 //  $159.95 //  $164.08 // 
37289 //  Bound High //  $78.27 //  $146.17 //  $352.22 // 
16071 //  Galactic Pinball //  $18.99 //  $35.52 //  $51.92 // 
16072 //  Golf //  $18.00 //  $45.69 //  $69.99 // 
37419 //  Hyper Fighting [Homebrew] //  $222.97 //  $490.93 //  $1003.37 // 
16073 //  Jack Bros. //  $467.84 //  $699.99 //  $1000.00 // 
14217 //  Mario Clash //  $36.89 //  $69.95 //  $115.00 // 
16074 //  "Marios Tennis" //  $11.59 //  $149.99 //  $290.95 // 
16075 //  "Nesters Funky Bowling" //  $53.57 //  $119.99 //  $180.70 // 
67049 //  Nintendo Virtual Boy AC Adapter //   //   //   // 
16076 //  Panic Bomber //  $31.45 //  $68.52 //  $105.22 // 
16077 //  Red Alarm //  $17.00 //  $35.61 //  $56.73 // 
63971 //  Red Alarm [Not for Resale] //  $52.50 //   //   // 
50176 //  SD Gundam Dimension Wars [Homebrew] //  $54.55 //  $119.99 //  $239.98 // 
14346 //  Teleroboxer //  $20.45 //  $38.00 //  $52.50 // 
16078 //  Vertical Force //  $34.87 //  $69.12 //  $90.14 // 
19445 //  Virtual Bowling //  $412.50 //  $1299.99 //   // 
20121 //  Virtual Boy System //  $129.99 //  $249.52 //  $398.00 // 
16079 //  Virtual League Baseball //  $12.05 //  $19.50 //  $19.99 // 
14198 //  Wario Land //  $30.90 //  $50.30 //  $118.58 // 
65270 //  Wario Land [Not For Resale] //   //   //   // 
16080 //  Waterworld //  $133.36 //  $272.50 //  $302.26 // 
