13087 //  After Burner //  $33.70 //  $56.09 //  $84.19 // 
16291 //  BC Racers //  $26.00 //  $55.43 //  $79.99 // 
15032 //  Blackthorne //  $114.48 //  $174.50 //  $288.28 // 
34067 //  Brutal: Above the Claw //  $28.04 //  $57.00 //  $95.62 // 
17612 //  Corpse Killer //  $17.95 //  $28.18 //  $29.99 // 
13734 //  Cosmic Carnage //  $10.23 //  $18.49 //  $31.79 // 
21589 //  DarXide //  $34.99 //  $40.30 //  $40.30 // 
13089 //  Doom //  $11.20 //  $20.48 //  $64.95 // 
34068 //  Fahrenheit //  $17.60 //  $30.22 //  $50.00 // 
34069 //  Golf Magazine Presents 36 Great Holes Starring Fred Couples //  $7.68 //  $10.99 //  $23.21 // 
16290 //  Knuckles Chaotix //  $82.49 //  $145.81 //  $225.00 // 
16413 //  Kolibri //  $72.94 //  $135.00 //  $187.01 // 
14170 //  Metal Head //  $11.23 //  $23.38 //  $47.51 // 
13091 //  Mortal Kombat II //  $25.00 //  $43.48 //  $109.25 // 
14832 //  Motocross Championship //  $7.43 //  $13.99 //  $31.99 // 
18486 //  NBA Jam Tournament Edition //  $25.97 //  $35.07 //  $57.80 // 
34070 //  NFL Quarterback Club //  $10.49 //  $15.99 //  $29.99 // 
18612 //  Night Trap //  $70.00 //  $76.00 //  $77.25 // 
34071 //  Pitfall Mayan Adventure //  $137.47 //  $249.99 //  $305.00 // 
13090 //  Primal Rage //  $34.69 //  $71.07 //  $113.04 // 
34072 //  RBI Baseball 95 //  $28.79 //  $65.47 //  $74.96 // 
11961 //  Sega 32X Unit //  $86.18 //  $176.87 //  $234.60 // 
18484 //  Shadow Squadron //  $21.54 //  $27.59 //  $45.00 // 
31009 //  Slam City //  $27.79 //  $38.92 //  $47.45 // 
16292 //  Space Harrier //  $30.00 //  $51.61 //  $70.03 // 
13693 //  Spiderman Web of Fire //  $220.39 //  $675.00 //  $759.75 // 
19832 //  Star Trek: Starfleet Academy //  $20.27 //  $44.26 //  $134.89 // 
13088 //  Star Wars Arcade //  $11.37 //  $19.93 //  $51.56 // 
18587 //  Supreme Warrior //  $20.99 //  $40.22 //  $59.99 // 
18485 //  T-Mek //  $47.77 //  $58.01 //  $100.41 // 
18640 //  Tempo //  $42.75 //  $67.76 //  $99.17 // 
34074 //  Toughman Contest //  $18.51 //  $32.88 //  $35.21 // 
13725 //  Virtua Fighter //  $11.99 //  $30.39 //  $30.83 // 
13735 //  Virtua Racing Deluxe //  $12.02 //  $18.00 //  $39.94 // 
34075 //  WWF Raw //  $29.84 //  $40.49 //  $118.45 // 
34076 //  WWF Wrestlemania: Arcade Game //  $53.66 //  $90.00 //  $92.00 // 
31932 //  World Series Baseball //  $85.97 //  $184.97 //  $202.51 // 
18492 //  Zaxxon Motherbase 2000 //  $22.99 //  $56.89 //  $60.00 // 
