12168 //  10-Yard Fight //  $6.15 //  $31.49 //  $435.55 // 
37965 //  10-Yard Fight [5 Screw] //  $4.85 //  $26.27 //  $44.32 // 
12169 //  1942 //  $10.51 //  $57.98 //  $186.68 // 
37996 //  1942 [5 Screw] //  $11.07 //  $41.25 //  $113.34 // 
12170 //  1943: The Battle of Midway //  $11.13 //  $38.17 //  $132.28 // 
8445 //  3D WorldRunner //  $7.85 //  $23.83 //  $73.02 // 
38021 //  3D WorldRunner [5 Screw] //  $8.11 //  $39.95 //  $82.17 // 
12171 //  720 //  $5.11 //  $25.27 //  $59.99 // 
12172 //  8 Eyes //  $9.00 //  $23.78 //  $126.05 // 
12173 //  A Boy and His Blob Trouble on Blobolonia //  $7.97 //  $38.49 //  $119.99 // 
12174 //  A Nightmare on Elm Street //  $40.56 //  $137.73 //  $411.25 // 
8451 //  Abadox //  $9.35 //  $29.67 //  $79.95 // 
8453 //  Action 52 //  $182.87 //  $314.06 //  $413.61 // 
8455 //  Addams Family //  $13.71 //  $31.50 //  $102.51 // 
8456 //  "Addams Family Pugsleys Scavenger Hunt" //  $51.00 //  $140.00 //  $261.09 // 
8458 //  Advanced Dungeons & Dragons Dragon Strike //  $33.46 //  $94.28 //  $275.18 // 
8459 //  Advanced Dungeons & Dragons Heroes of the Lance //  $12.40 //  $31.07 //  $176.62 // 
8460 //  Advanced Dungeons & Dragons Hillsfar //  $78.43 //  $162.01 //  $285.11 // 
8462 //  Advanced Dungeons & Dragons Pool of Radiance //  $39.30 //  $59.98 //  $196.85 // 
8464 //  Adventure Island //  $9.99 //  $40.00 //  $234.04 // 
12176 //  Adventure Island 3 //  $51.97 //  $119.40 //  $349.94 // 
8465 //  Adventure Island II //  $18.31 //  $60.78 //  $193.60 // 
8466 //  Adventures in the Magic Kingdom //  $8.19 //  $22.65 //  $119.99 // 
8468 //  Adventures of Bayou Billy //  $5.00 //  $19.50 //  $104.99 // 
12119 //  Adventures of Captain Comic //  $12.08 //  $25.99 //  $45.50 // 
12175 //  Adventures of Dino Riki //  $5.99 //  $28.99 //  $82.93 // 
11979 //  Adventures of Lolo //  $10.37 //  $29.99 //  $153.15 // 
11980 //  Adventures of Lolo 2 //  $32.28 //  $58.22 //  $112.56 // 
8469 //  Adventures of Lolo 3 //  $45.25 //  $74.50 //  $216.87 // 
12377 //  Adventures of Rad Gravity //  $18.00 //  $35.25 //  $190.62 // 
8472 //  Adventures of Tom Sawyer //  $9.77 //  $22.95 //  $87.80 // 
12177 //  After Burner //  $8.19 //  $28.01 //  $73.50 // 
8488 //  Air Fortress //  $5.65 //  $21.65 //  $81.00 // 
12178 //  Airwolf //  $3.08 //  $17.95 //  $66.00 // 
8491 //  Al Unser Turbo Racing //  $3.97 //  $13.99 //  $54.20 // 
39509 //  Aladdin Deck Enhancer //  $15.75 //  $34.49 //  $110.30 // 
67580 //  "Alfonzos Arctic Adventure" //   //   //   // 
8493 //  Alfred Chicken //  $56.43 //  $152.43 //  $411.21 // 
8495 //  Alien 3 //  $22.87 //  $56.42 //  $91.41 // 
12179 //  Alien Syndrome //  $12.46 //  $24.99 //  $58.29 // 
12180 //  All-Pro Basketball //  $5.70 //  $16.87 //  $63.05 // 
12181 //  Alpha Mission //  $8.43 //  $26.25 //  $174.95 // 
38035 //  Alpha Mission [5 Screw] //  $54.99 //  $99.99 //  $456.50 // 
12183 //  Amagon //  $6.92 //  $30.00 //  $79.99 // 
8507 //  American Gladiators //  $8.87 //  $17.49 //  $51.86 // 
12184 //  Anticipation //  $2.00 //  $8.72 //  $28.37 // 
12185 //  Arch Rivals //  $4.87 //  $15.00 //  $50.38 // 
12186 //  Archon //  $9.12 //  $24.99 //  $77.59 // 
8527 //  Arkanoid //  $11.21 //  $87.62 //  $214.51 // 
38015 //  Arkanoid [5 Screw] //  $12.68 //  $33.08 //  $105.86 // 
37957 //  Arkanoid [Controller Bundle] //  $54.84 //  $126.98 //  $173.54 // 
16264 //  "Arkistas Ring" //  $23.93 //  $76.01 //  $249.97 // 
8538 //  Astyanax //  $6.46 //  $24.22 //  $74.35 // 
12187 //  Athena //  $8.28 //  $47.00 //  $400.00 // 
38016 //  Athena [5 Screw] //  $8.68 //  $62.35 //  $113.52 // 
12188 //  Athletic World //  $6.75 //  $28.69 //  $76.40 // 
38009 //  Athletic World [5 Screw] //  $13.00 //  $39.95 //  $107.90 // 
8541 //  Attack of the Killer Tomatoes //  $26.72 //  $90.00 //  $180.00 // 
12189 //  Baby Boomer //  $45.81 //  $93.58 //  $178.75 // 
12190 //  Back to the Future //  $5.82 //  $31.59 //  $165.47 // 
