3780 //  007 GoldenEye //  $35.87 //  $49.89 //  $235.00 // 
37547 //  007 GoldenEye [Not for Resale] //  $300.00 //   //   // 
42329 //  "007 GoldenEye [Players Choice]" //  $19.82 //  $37.30 //  $117.64 // 
3966 //  007 World Is Not Enough //  $14.99 //  $26.54 //  $84.21 // 
40361 //  007 World Is Not Enough [Gray Cart] //  $11.86 //  $26.57 //  $70.79 // 
3674 //  1080 Snowboarding //  $8.91 //  $23.99 //  $165.27 // 
37542 //  1080 Snowboarding [Not for Resale] //  $124.51 //   //   // 
42325 //  "1080 Snowboarding [Players Choice]" //  $8.28 //  $24.99 //  $57.96 // 
65236 //  40 Winks [Special Edition] //   //   //   // 
3717 //  "A Bugs Life" //  $8.70 //  $19.99 //  $40.25 // 
14427 //  Aero Gauge //  $9.08 //  $29.22 //  $49.00 // 
3675 //  Aerofighters Assault //  $7.77 //  $26.01 //  $62.62 // 
3676 //  Aidyn Chronicles //  $21.42 //  $46.80 //  $72.88 // 
40351 //  Aidyn Chronicles [Gray Cart] //  $79.99 //  $126.06 //  $340.36 // 
3677 //  All-Star Baseball 2000 //  $4.18 //  $11.01 //  $28.85 // 
3678 //  All-Star Baseball 2001 //  $7.55 //  $21.74 //  $28.02 // 
3679 //  All-Star Baseball 99 //  $3.53 //  $7.99 //  $32.99 // 
3680 //  All-Star Tennis 99 //  $18.56 //  $30.99 //  $31.59 // 
3681 //  Armorines Project SWARM //  $7.89 //  $22.26 //  $37.49 // 
3683 //  Army Men Air Combat //  $11.00 //  $25.00 //  $26.13 // 
40352 //  Army Men Air Combat [Gray Cart] //  $32.25 //  $51.18 //  $138.19 // 
3684 //  "Army Men Sarges Heroes" //  $10.68 //  $26.85 //  $71.88 // 
3682 //  "Army Men Sarges Heroes 2" //  $14.54 //  $36.47 //  $75.00 // 
40353 //  "Army Men Sarges Heroes 2 [Gray Cart]" //  $12.43 //  $30.84 //  $83.27 // 
3685 //  Asteroids Hyper 64 //  $8.91 //  $24.48 //  $40.85 // 
3691 //  Atomic Purple Controller //  $22.99 //  $51.83 //  $139.93 // 
3695 //  Automobili Lamborghini //  $5.98 //  $20.62 //  $49.70 // 
45730 //  Banana Controller //  $99.80 //  $255.00 //  $688.50 // 
3696 //  Banjo-Kazooie //  $31.27 //  $74.76 //  $414.46 // 
37543 //  Banjo-Kazooie [Not for Resale] //  $53.98 //   //   // 
42326 //  "Banjo-Kazooie [Players Choice]" //  $27.71 //  $57.50 //  $155.25 // 
3697 //  Banjo-Tooie //  $34.99 //  $78.32 //  $314.70 // 
37544 //  Banjo-Tooie [Not for Resale] //  $52.58 //   //   // 
3698 //  Bass Hunter 64 //  $6.76 //  $17.60 //  $50.01 // 
3699 //  Bass Masters 2000 //  $10.84 //  $24.00 //  $52.56 // 
40354 //  Bass Masters 2000 [Gray Cart] //  $46.92 //  $96.81 //  $261.39 // 
3700 //  Batman Beyond //  $22.56 //  $53.37 //  $144.26 // 
3702 //  Battletanx //  $14.24 //  $35.24 //  $108.14 // 
3703 //  Battletanx Global Assault //  $15.74 //  $37.53 //  $109.43 // 
3701 //  Battlezone: Rise of the Black Dogs //  $19.23 //  $67.76 //  $150.31 // 
3705 //  Beetle Adventure Racing //  $14.99 //  $32.04 //  $92.00 // 
14428 //  Big Mountain 2000 //  $33.61 //  $63.14 //  $109.99 // 
3186 //  Biofreaks //  $8.57 //  $30.81 //  $75.68 // 
3706 //  Black Controller //  $23.03 //  $43.24 //  $112.02 // 
3707 //  Blast Corps //  $10.16 //  $33.95 //  $197.99 // 
3710 //  Blue Controller //  $21.64 //  $48.39 //  $130.65 // 
3711 //  Blues Brothers 2000 //  $15.27 //  $41.71 //  $87.84 // 
3712 //  Body Harvest //  $13.40 //  $39.03 //  $50.47 // 
3713 //  Bomberman 64 //  $20.61 //  $53.00 //  $159.50 // 
3715 //  Bomberman 64 Second Attack //  $142.45 //  $579.42 //  $1399.99 // 
3714 //  Bomberman Hero //  $12.59 //  $47.77 //  $128.99 // 
14881 //  Bottom of the 9th //  $8.99 //  $23.47 //  $59.30 // 
3728 //  Brunswick Circuit Pro Bowling //  $16.38 //  $31.25 //  $43.03 // 
3716 //  Buck Bumble //  $14.50 //  $47.56 //  $113.38 // 
3718 //  Bust-A-Move 2 //  $11.00 //  $27.36 //  $79.19 // 
3719 //  Bust-A-Move 99 //  $19.73 //  $39.82 //  $148.89 // 
3720 //  California Speed //  $9.60 //  $23.48 //  $58.97 // 
3721 //  Carmageddon //  $46.14 //  $83.50 //  $199.99 // 
3722 //  Castlevania //  $15.48 //  $40.47 //  $106.17 // 
3723 //  Castlevania Legacy of Darkness //  $61.04 //  $163.49 //  $346.65 // 
3724 //  Chameleon Twist //  $19.99 //  $75.88 //  $204.82 // 
3725 //  Chameleon Twist 2 //  $31.20 //  $189.99 //  $360.00 // 
3726 //  Charlie Blasts //  $21.60 //  $78.75 //  $79.99 // 
3727 //  Chopper Attack //  $8.16 //  $25.28 //  $62.99 // 
3730 //  Clay Fighter 63 1/3 //  $18.14 //  $54.82 //  $142.12 // 
3729 //  Clay Fighter Sculptors Cut //  $419.48 //  $2499.99 //  $4000.00 // 
38380 //  Cleaning Kit //  $7.00 //  $24.99 //  $54.95 // 
3731 //  Command and Conquer //  $9.96 //  $28.70 //  $77.50 // 
3732 //  "Conkers Bad Fur Day" //  $74.05 //  $143.50 //  $251.25 // 
3733 //  "Cruisn Exotica" //  $20.79 //  $53.99 //  $84.32 // 
3734 //  "Cruisn USA" //  $12.06 //  $24.99 //  $92.79 // 
42327 //  "Cruisn USA [Players Choice]" //  $8.50 //  $19.00 //  $59.50 // 
3735 //  "Cruisn World" //  $13.77 //  $33.33 //  $169.20 // 
3736 //  CyberTiger //  $12.57 //  $26.43 //  $46.31 // 
14429 //  Daikatana //  $48.45 //  $158.96 //  $345.94 // 
3737 //  Dark Rift //  $7.60 //  $23.05 //  $54.98 // 
3738 //  Deadly Arts //  $18.50 //  $50.85 //  $73.78 // 
3739 //  Destruction Derby 64 //  $13.44 //  $31.15 //  $93.06 // 
3740 //  Diddy Kong Racing //  $20.00 //  $46.66 //  $320.63 // 
37545 //  Diddy Kong Racing [Not for Resale] //  $241.16 //   //   // 
42328 //  "Diddy Kong Racing [Players Choice]" //  $30.09 //  $44.97 //  $121.42 // 
3741 //  Donald Duck Going Quackers //  $21.95 //  $79.73 //  $137.47 // 
3742 //  Donkey Kong 64 //  $28.96 //  $39.54 //  $200.00 // 
45066 //  Donkey Kong 64 [Expansion Pak Bundle] //  $50.99 //  $79.90 //  $206.10 // 
33845 //  Donkey Kong 64 [Not for Resale Gray] //  $325.01 //   //   // 
3743 //  Doom 64 //  $34.09 //  $89.97 //  $195.06 // 
3744 //  Dr. Mario 64 //  $22.81 //  $42.17 //  $106.35 // 
3745 //  Dual Heroes //  $12.85 //  $48.61 //  $94.46 // 
3746 //  Duck Dodgers //  $40.17 //  $94.99 //  $292.50 // 
3747 //  Duke Nukem 64 //  $19.99 //  $52.44 //  $117.22 // 
3748 //  Duke Nukem Zero Hour //  $13.99 //  $31.60 //  $78.56 // 
14158 //  ECW Hardcore Revolution //  $8.82 //  $24.49 //  $43.84 // 
3749 //  Earthworm Jim 3D //  $38.38 //  $113.63 //  $165.00 // 
3750 //  "Elmos Letter Adventure" //  $8.59 //  $37.61 //  $38.00 // 
3751 //  "Elmos Number Journey" //  $8.89 //  $40.84 //  $64.50 // 
3752 //  Excitebike 64 //  $10.56 //  $25.00 //  $72.52 // 
37546 //  Excitebike 64 [Not for Resale] //  $48.55 //   //   // 
3753 //  Expansion Pak //  $30.12 //  $60.00 //  $114.23 // 
