14490 //  Aero Blasters //  $50.64 //  $74.14 //  $256.70 // 
32782 //  Ai: Cho Aniki [Super CD] //  $26.05 //  $56.76 //  $113.52 // 
12043 //  Air Zonk //  $115.00 //  $278.29 //  $695.00 // 
12044 //  Alien Crush //  $24.98 //  $32.42 //  $76.00 // 
14491 //  Andre Panza Kick Boxing //  $17.08 //  $20.99 //  $69.23 // 
68009 //  Atlantean //   //   //   // 
14492 //  Ballistix //  $30.42 //  $59.14 //  $74.00 // 
14493 //  Battle Royale //  $15.77 //  $25.49 //  $62.82 // 
32783 //  Beyond Shadowgate [Super CD] //  $220.92 //  $449.99 //  $899.98 // 
12046 //  Blazing Lazers //  $41.72 //  $59.97 //  $104.42 // 
12047 //  Bloody Wolf //  $35.25 //  $48.85 //  $223.86 // 
14494 //  Bomberman //  $49.80 //  $64.99 //  $184.88 // 
12048 //  Bomberman 93 //  $99.99 //  $179.99 //  $302.08 // 
12049 //  "Bonk 1 Bonks Adventure" //  $35.09 //  $40.84 //  $145.19 // 
12050 //  "Bonk 2 Bonks Revenge" //  $45.64 //  $57.71 //  $107.41 // 
12051 //  "Bonk 3 Bonks Big Adventure" //  $241.08 //  $523.71 //  $1032.55 // 
32763 //  "Bonk 3 Bonks Big Adventure [Super CD]" //  $220.82 //  $969.49 //  $1938.98 // 
14495 //  Boxyboy //  $26.63 //  $34.23 //  $208.06 // 
12052 //  Bravoman //  $25.63 //  $37.51 //  $51.40 // 
32775 //  Buster Bros [Super CD] //  $35.00 //  $54.00 //  $54.00 // 
18628 //  Cadash //  $82.98 //  $119.94 //  $450.00 // 
32785 //  Camp California [Super CD] //  $113.61 //  $177.58 //  $355.16 // 
59723 //  Carrying Case //   //   //   // 
32773 //  Castlevania X: Rondo of Blood [Super CD] //  $151.31 //  $175.25 //  $350.50 // 
14496 //  Champions Forever Boxing //  $16.79 //  $29.20 //  $89.96 // 
14497 //  Chase HQ //  $95.09 //  $171.05 //  $346.95 // 
12053 //  Chew Man Fu //  $62.50 //  $87.98 //  $177.13 // 
12054 //  China Warrior //  $14.18 //  $21.91 //  $63.74 // 
18629 //  Cosmic Fantasy 2 [Super CD] //  $51.85 //  $57.50 //  $88.91 // 
32787 //  Cotton: Fantastic Night Dreams [Super CD] //  $183.30 //  $400.00 //  $543.33 // 
12055 //  Cratermaze //  $17.50 //  $39.97 //  $78.75 // 
