14490 //  Aero Blasters //  $49.60 //  $69.48 //  $257.63 // 
32782 //  Ai: Cho Aniki [Super CD] //  $26.05 //  $56.76 //  $113.52 // 
12043 //  Air Zonk //  $131.50 //  $265.67 //  $695.00 // 
12044 //  Alien Crush //  $22.06 //  $30.00 //  $75.95 // 
14491 //  Andre Panza Kick Boxing //  $16.17 //  $20.97 //  $69.23 // 
14492 //  Ballistix //  $30.26 //  $57.21 //  $74.00 // 
14493 //  Battle Royale //  $17.70 //  $22.39 //  $62.82 // 
32783 //  Beyond Shadowgate [Super CD] //  $220.72 //  $449.99 //  $899.98 // 
12046 //  Blazing Lazers //  $44.94 //  $61.56 //  $112.60 // 
12047 //  Bloody Wolf //  $36.30 //  $50.54 //  $224.34 // 
14494 //  Bomberman //  $50.52 //  $71.52 //  $185.00 // 
12048 //  Bomberman 93 //  $99.68 //  $170.99 //  $302.08 // 
12049 //  "Bonk 1 Bonks Adventure" //  $32.81 //  $41.40 //  $144.99 // 
12050 //  "Bonk 2 Bonks Revenge" //  $39.50 //  $53.49 //  $107.31 // 
12051 //  "Bonk 3 Bonks Big Adventure" //  $251.55 //  $416.08 //  $838.47 // 
32763 //  "Bonk 3 Bonks Big Adventure [Super CD]" //  $220.82 //  $969.49 //  $1938.98 // 
14495 //  Boxyboy //  $25.99 //  $31.09 //  $208.06 // 
12052 //  Bravoman //  $31.20 //  $36.00 //  $55.50 // 
32775 //  Buster Bros [Super CD] //  $35.00 //  $53.91 //  $53.95 // 
18628 //  Cadash //  $90.20 //  $125.29 //  $450.00 // 
32785 //  Camp California [Super CD] //  $113.61 //  $177.58 //  $355.16 // 
59723 //  Carrying Case //   //   //   // 
32773 //  Castlevania X: Rondo of Blood [Super CD] //  $151.31 //  $175.25 //  $350.50 // 
14496 //  Champions Forever Boxing //  $16.77 //  $29.96 //  $89.96 // 
14497 //  Chase HQ //  $92.05 //  $186.10 //  $372.20 // 
12053 //  Chew Man Fu //  $64.92 //  $88.42 //  $177.13 // 
12054 //  China Warrior //  $18.02 //  $22.45 //  $63.74 // 
18629 //  Cosmic Fantasy 2 [Super CD] //  $47.13 //  $57.50 //  $89.29 // 
32787 //  Cotton: Fantastic Night Dreams [Super CD] //  $183.31 //  $403.29 //  $543.33 // 
12055 //  Cratermaze //  $17.49 //  $39.97 //  $78.84 // 
14498 //  Cybercore //  $40.75 //  $49.69 //  $95.36 // 
32769 //  Darius Alpha [Japan] //  $780.67 //  $1553.42 //  $3106.84 // 
14499 //  Darkwing Duck //  $97.26 //  $155.13 //  $202.50 // 
14500 //  Davis Cup Tennis //  $15.00 //  $19.64 //  $25.48 // 
12056 //  Dead Moon //  $71.60 //  $176.93 //  $181.47 // 
14501 //  Deep Blue //  $26.93 //  $39.74 //  $52.00 // 
12057 //  "Devils Crush" //  $67.28 //  $81.34 //  $174.99 // 
12058 //  Double Dungeons //  $22.54 //  $33.61 //  $129.01 // 
32766 //  Dragon Slayer: The Legend of Heroes [Super CD] //  $125.74 //  $141.04 //  $282.02 // 
12059 //  Dragon Spirit //  $29.29 //  $37.33 //  $81.01 // 
12060 //  "Dragons Curse" //  $83.65 //  $123.69 //  $304.96 // 
12061 //  Drop Off //  $25.57 //  $35.99 //  $69.99 // 
12062 //  Dungeon Explorer //  $26.09 //  $30.19 //  $104.46 // 
32778 //  Dungeon Explorer II [Super CD] //  $219.77 //  $244.99 //  $993.50 // 
32774 //  "Dungeon Master: Therons Quest [Super CD]" //  $58.27 //  $63.60 //  $126.63 // 
12063 //  Dynastic Hero [Super CD] //  $525.42 //  $1195.55 //  $2364.39 // 
14440 //  Exile Wicked Phenomenon [Super CD] //  $126.36 //  $199.95 //  $260.50 // 
14855 //  Exile [Super CD] //  $58.77 //  $68.56 //  $129.96 // 
